,count_of_sizes,colors,product_code,reviews,quality
0,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['PUMA Black-Warm White-Gum', 'Speed Blue-Lime Pow-Gum', 'Lavender Alert-Burnt Red-Gum']",['Style: 399332_01'],['Reviews (6)Average: 4.5 / 5Write A ReviewRead All ReviewsRead All'],['50.0']
1,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['PUMA Black-Warm White-Gum', 'Speed Blue-Lime Pow-Gum', 'Lavender Alert-Burnt Red-Gum']",['Style: 399332_03'],['Reviews (6)Average: 4.5 / 5Write A ReviewRead All ReviewsRead All'],['50.0']
2,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['PUMA Black-Warm White-Gum', 'Speed Blue-Lime Pow-Gum', 'Lavender Alert-Burnt Red-Gum']",['Style: 399332_02'],['Reviews (6)Average: 4.5 / 5Write A ReviewRead All ReviewsRead All'],['50.0']
3,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Malachite-Puma Team Gold-PUMA White', 'Dark Jasper-Puma Team Gold-PUMA White']",['Style: 398949_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
4,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Malachite-Puma Team Gold-PUMA White', 'Dark Jasper-Puma Team Gold-PUMA White']",['Style: 398949_02'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
5,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['PUMA White-Malachite-Puma Team Gold'],['Style: 397113_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
6,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '13.5', '14.5', '15.5']","['Malachite-Warm White', 'PUMA Black-PUMA Black']",['Style: 397112_01'],['Reviews (1)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
7,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '13.5', '14.5', '15.5']","['Malachite-Warm White', 'PUMA Black-PUMA Black']",['Style: 397112_02'],['Reviews (1)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
8,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Puma Black-Puma White', 'High Risk Red-Puma White', 'Marshmallow-Puma White', 'Lily Pad-Lily Pad', 'Icy Blue-PUMA White', 'Granola-Warm White']",['Style: 381410_01'],['Reviews (160)Average: 4.2 / 5Write A ReviewRead All ReviewsRead All'],[]
9,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Puma White-Puma White', 'Puma White-Puma Black']",['Style: 369155_04'],['Reviews (162)Average: 4.1 / 5Write A ReviewRead All ReviewsRead All'],['80.9']
10,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Puma White-Puma Black', 'Puma White-Peyote']",['Style: 381983_01'],['Reviews (55)Average: 4.4 / 5Write A ReviewRead All ReviewsRead All'],['85.7']
11,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Puma White-Puma White', 'Puma White-Puma Black']",['Style: 369155_01'],['Reviews (162)Average: 4.1 / 5Write A ReviewRead All ReviewsRead All'],['80.9']
12,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Puma White-Puma White', 'Puma Black-Puma White']",['Style: 373438_01'],['Reviews (104)Average: 4.7 / 5Write A ReviewRead All ReviewsRead All'],['92.9']
13,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Puma White', 'Puma Black']",['Style: 384209_01'],['Reviews (30)Average: 3.9 / 5Write A ReviewRead All ReviewsRead All'],['66.7']
14,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Puma Black-Puma White', 'High Risk Red-Puma White', 'Marshmallow-Puma White', 'Lily Pad-Lily Pad', 'Icy Blue-PUMA White', 'Granola-Warm White']",['Style: 381410_02'],['Reviews (160)Average: 4.2 / 5Write A ReviewRead All ReviewsRead All'],['82.3']
15,"['5.5', '6', '6.5', '7.5', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '13.5', '14.5', '15.5']","['Puma White-Puma Team Gold', 'Puma Black-Puma Team Gold']",['Style: 366408_01'],['Reviews (36)Average: 4.1 / 5Write A ReviewRead All ReviewsRead All'],['73.5']
16,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['PUMA White-Gold-Warm White'],['Style: 397089_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
17,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Puma Black-Puma White', 'High Risk Red-Puma White', 'Marshmallow-Puma White', 'Lily Pad-Lily Pad', 'Icy Blue-PUMA White', 'Granola-Warm White']",['Style: 381410_10'],['Reviews (160)Average: 4.2 / 5Write A ReviewRead All ReviewsRead All'],['82.3']
18,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Puma White-Puma White', 'Puma Black-Puma White']",['Style: 373438_02'],['Reviews (104)Average: 4.7 / 5Write A ReviewRead All ReviewsRead All'],['92.9']
19,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['PUMA White', 'PUMA Black', 'PUMA White-PUMA Black', 'PUMA Black-PUMA White']",['Style: 392730_01'],['Reviews (9)Average: 4.1 / 5Write A ReviewRead All ReviewsRead All'],['75.0']
20,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Club Navy', 'Dark Myrtle']",['Style: 399262_02'],['Reviews (49)Average: 4.6 / 5Write A ReviewRead All ReviewsRead All'],['87.5']
21,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['Puma Black-Puma White'],['Style: 380784_01'],['Reviews (9)Average: 4.9 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
22,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['Whisper White-ARUBA BLUE'],['Style: 392710_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
23,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Frosty Pink-Warm White', 'Frosty Pink-Ravish-Pearl Pink']",['Style: 393772_05'],['Reviews (3)Average: 4.7 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
24,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['PUMA Black'],['Style: 396352_02'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
25,"['5.5', '6', '6.5', '7', '7.5', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '13.5', '14.5', '15.5']","['Puma White-Puma Team Gold', 'Puma Black-Puma Team Gold']",['Style: 366408_02'],['Reviews (36)Average: 4.1 / 5Write A ReviewRead All ReviewsRead All'],['73.5']
26,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Puma Black-Puma White', 'High Risk Red-Puma White', 'Marshmallow-Puma White', 'Lily Pad-Lily Pad', 'Icy Blue-PUMA White', 'Granola-Warm White']",['Style: 381410_90'],['Reviews (160)Average: 4.2 / 5Write A ReviewRead All ReviewsRead All'],['82.3']
27,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Frosty Pink-Warm White', 'Frosty Pink-Ravish-Pearl Pink']",['Style: 393772_02'],['Reviews (3)Average: 4.7 / 5Write A ReviewRead All ReviewsRead All'],[]
28,"['6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['PUMA White-Feather Gray'],['Style: 379140_01'],['Reviews (1)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
29,"['6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Puma White-Puma Black', 'Puma White-Peyote']",['Style: 381983_02'],['Reviews (55)Average: 4.4 / 5Write A ReviewRead All ReviewsRead All'],['85.7']
30,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Club Navy', 'Dark Myrtle']",['Style: 399262_01'],['Reviews (49)Average: 4.6 / 5Write A ReviewRead All ReviewsRead All'],['87.5']
31,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['Iridescent-PUMA White'],['Style: 392886_01'],['Reviews (17)Average: 3.8 / 5Write A ReviewRead All ReviewsRead All'],['75.0']
32,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['Frosted Ivory-Warm White-Cashew'],['Style: 397090_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
33,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '13.5', '14.5', '15.5']",['Sedate Gray-PUMA White'],['Style: 396704_02'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
34,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['Pristine-Marshmallow'],['Style: 385248_01'],['Reviews (1)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
35,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['Puma White'],['Style: 396172_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
36,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Warm White', 'PUMA Black']",['Style: 393065_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
37,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['PUMA White-PUMA Black', 'PUMA White-PUMA White-PUMA Gold']",['Style: 393802_09'],['Reviews (6)Average: 4.5 / 5Write A ReviewRead All ReviewsRead All'],['75.0']
38,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Icy Blue-Ultra Blue', 'Ash Gray-PUMA White-Yellow Burst-Vivid Violet']",['Style: 377540_04'],['Reviews (2)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
39,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['PUMA White', 'PUMA Black', 'PUMA White-PUMA Black', 'PUMA Black-PUMA White']",['Style: 392730_08'],['Reviews (9)Average: 4.1 / 5Write A ReviewRead All ReviewsRead All'],['75.0']
40,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Fresh Mint-Fast Pink', 'Cobalt Glaze-PUMA White']",['Style: 397643_02'],['Reviews (2)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
41,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['PUMA Black', 'Chocolate']",['Style: 394786_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
42,"['5.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '13.5']",['PUMA White-Pristine'],['Style: 392086_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
43,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['Puma White-Puma Black-Gray Violet'],['Style: 383112_04'],['Reviews (21)Average: 4.0 / 5Write A ReviewRead All ReviewsRead All'],['63.2']
44,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['PUMA Black-PUMA Silver', 'PUMA Black-Peach Smoothie-Speed Green', 'Fire Orchid-Ultra Blue']",['Style: 378456_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
45,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['PUMA White'],['Style: 394755_02'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
46,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['PUMA White-Marshmallow', 'PUMA White-Warm White-Dark Jasper']",['Style: 389853_06'],['Reviews (1)Average: 1.0 / 5Write A ReviewRead All ReviewsRead All'],['0.0']
47,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['PUMA White', 'PUMA Black', 'PUMA White-PUMA Black', 'PUMA Black-PUMA White']",['Style: 392730_02'],['Reviews (9)Average: 4.1 / 5Write A ReviewRead All ReviewsRead All'],['75.0']
48,"['6', '7', '8', '9', '10']","['PUMA Black', 'Frosted Ivory']",['Style: 389454_04'],['Reviews (14)Average: 4.2 / 5Write A ReviewRead All ReviewsRead All'],['90.0']
49,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['Dark Jasper-Warm White'],['Style: 371008_27'],['Reviews (26)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
50,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['Fire Orchid-Ultra Blue'],['Style: 376262_21'],['Reviews (13)Average: 4.6 / 5Write A ReviewRead All ReviewsRead All'],['91.7']
51,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['PUMA Black-Cool Dark Gray-PUMA Silver', 'Cool Dark Gray-Koral Ice', 'Eucalyptus-Alpine Snow-PUMA Black', 'Alpine Snow-Ultra Blue-Yellow Burst', 'Active Red-Ocean Tropic-Lime Pow: out of stock']",['Style: 377746_04'],['Reviews (1)Average: 3.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
52,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '13.5', '14.5', '15.5', '16.5']",['Light Aqua-PUMA White'],['Style: 378318_02'],['Reviews (2)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
53,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['Sugared Almond-PUMA Gold'],['Style: 309720_04'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
54,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['PUMA White', 'PUMA Black', 'PUMA White-PUMA Black', 'PUMA Black-PUMA White']",['Style: 392730_04'],['Reviews (9)Average: 4.1 / 5Write A ReviewRead All ReviewsRead All'],['75.0']
55,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '13.5', '14.5', '15.5', '16.5', '17.5']",['PUMA Navy'],['Style: 379886_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
56,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['PUMA Black-PUMA White', 'Fire Orchid-PUMA Black-PUMA Silver']",['Style: 377758_09'],['Reviews (16)Average: 4.5 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
57,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['PUMA Black-Fire Orchid', 'Fire Orchid-PUMA Black-Icy Blue', 'Poison Pink-PUMA Black-PUMA White']",['Style: 376855_22'],['Reviews (9)Average: 4.2 / 5Write A ReviewRead All ReviewsRead All'],['88.9']
58,"['5.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '13.5']",['PUMA White-PUMA White'],['Style: 392085_01'],['Reviews (3)Average: 3.7 / 5Write A ReviewRead All ReviewsRead All'],['66.7']
59,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '13.5', '14.5', '15.5']",['Cayenne Pepper-Astro Red'],['Style: 393301_02'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
60,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Warm White', 'PUMA Black']",['Style: 393065_02'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
