,ShoeName,URL,no_colors,price_reduce,price,Category,Brand,product_code
0,Superstar XLG Shoes,https://www.adidas.com/us/superstar-xlg-shoes/IG9777.html,12,88,110,WOMEN Originals,Adidas,IG9777
1,Cloudfoam Pure Shoes,https://www.adidas.com/us/cloudfoam-pure-shoes/IG2530.html,2,45,75,Women's Essentials,Adidas,IG2530
2,AdiFOM SST Boot Shoes,https://www.adidas.com/us/adifom-sst-boot-shoes/IE4614.html,3,44,110,Women's Originals,Adidas,IE4614
3,Racer TR23 Shoes,https://www.adidas.com/us/racer-tr23-shoes/IF3330.html,11,56,80,Women's Sportswear,Adidas,IF3330
4,Gazelle Indoor Shoes,https://www.adidas.com/us/gazelle-indoor-shoes/IG4994.html,2,105,150,WOMEN Originals,Adidas,IG4994
5,Cloudfoam Pure Shoes,https://www.adidas.com/us/cloudfoam-pure-shoes/IF3393.html,2,45,75,Women's Sportswear,Adidas,IF3393
6,Stan Smith Shoes,https://www.adidas.com/us/stan-smith-shoes/G58184.html,2,80,100,Women's Originals,Adidas,G58184
7,Gazelle Indoor Shoes,https://www.adidas.com/us/gazelle-indoor-shoes/IG4996.html,2,105,150,WOMEN Originals,Adidas,IG4996
8,Superstar Shoes,https://www.adidas.com/us/superstar-shoes/IF7677.html,22,44,110,Women's Originals,Adidas,IF7677
9,OZMILLEN Shoes,https://www.adidas.com/us/ozmillen-shoes/IF6581.html,2,44,110,Women's Originals,Adidas,IF6581
10,AdiFOM SST Boot Shoes,https://www.adidas.com/us/adifom-sst-boot-shoes/IE4613.html,3,44,110,Women's Originals,Adidas,IE4613
11,Ultraboost 1.0 Shoes,https://www.adidas.com/us/ultraboost-1.0-shoes/HR0066.html,2,160,200,Women's Sportswear,Adidas,HR0066
12,Stan Smith Lux Shoes,https://www.adidas.com/us/stan-smith-lux-shoes/HQ6787.html,8,120,150,WOMEN Originals,Adidas,HQ6787
13,Superstar Shoes,https://www.adidas.com/us/superstar-shoes/IF7676.html,22,44,110,Women's Originals,Adidas,IF7676
14,AdiFOM SST Boot Shoes,https://www.adidas.com/us/adifom-sst-boot-shoes/IG2682.html,3,44,110,Women's Originals,Adidas,IG2682
15,Adizero SL Running Shoes,https://www.adidas.com/us/adizero-sl-running-shoes/ID6933.html,7,48,120,Women's Running,Adidas,ID6933
16,Superstar Shoes,https://www.adidas.com/us/superstar-shoes/IE3000.html,22,80,100,Women's Originals,Adidas,IE3000
17,Avryn Shoes,https://www.adidas.com/us/avryn-shoes/IG2372.html,18,63,140,WOMEN Sportswear,Adidas,IG2372
18,Puremotion Adapt Shoes,https://www.adidas.com/us/puremotion-adapt-shoes/ID4430.html,7,42,70,Women's Essentials,Adidas,ID4430
19,Superstar XLG Shoes,https://www.adidas.com/us/superstar-xlg-shoes/IF8114.html,12,77,110,WOMEN Originals,Adidas,IF8114
20,Superstar Millencon Boot Shoes,https://www.adidas.com/us/superstar-millencon-boot-shoes/IG5320.html,2,49,140,Women's Originals,Adidas,IG5320
21,Superstar Shoes,https://www.adidas.com/us/superstar-shoes/IF7615.html,22,88,110,Women's Originals,Adidas,IF7615
22,Superstar XLG Shoes,https://www.adidas.com/us/superstar-xlg-shoes/IE7377.html,3,77,110,Women's Originals,Adidas,IE7377
23,Y-3 Rivalry,https://www.adidas.com/us/y-3-rivalry/FZ6396.html,4,240,400,WOMEN Y-3,Adidas,FZ6396
24,TERREX Swift R3 GORE-TEX Hiking Shoes,https://www.adidas.com/us/terrex-swift-r3-gore-tex-hiking-shoes/IF2403.html,4,64,160,Women's TERREX,Adidas,IF2403
25,Superstar XLG Shoes,https://www.adidas.com/us/superstar-xlg-shoes/IG2972.html,3,77,110,Women's Originals,Adidas,IG2972
26,Crazy 8 Shoes,https://www.adidas.com/us/crazy-8-shoes/IE7198.html,4,98,140,WOMEN Originals,Adidas,IE7198
27,Duramo SL Running Shoes,https://www.adidas.com/us/duramo-sl-running-shoes/IF7877.html,7,49,70,Women's Running,Adidas,IF7877
28,Five Ten Freerider Pro Mountain Bike Shoes,https://www.adidas.com/us/five-ten-freerider-pro-mountain-bike-shoes/FX4453.html,5,56,160,Women's Five Ten,Adidas,FX4453
29,Stan Smith CS Shoes,https://www.adidas.com/us/stan-smith-cs-shoes/IG0344.html,4,80,100,Women's Originals,Adidas,IG0344
30,Avacourt Tennis Shoes,https://www.adidas.com/us/avacourt-tennis-shoes/ID2080.html,4,45,150,Women's Tennis,Adidas,ID2080
31,TERREX FREE HIKER 2 C.RDY W,https://www.adidas.com/us/terrex-free-hiker-2-c.rdy-w/IG2368.html,2,208,260,Women's TERREX,Adidas,IG2368
32,X_PLRBOOST Shoes,https://www.adidas.com/us/x_plrboost-shoes/ID9600.html,11,64,160,Women's Sportswear,Adidas,ID9600
33,Copa Icon Firm Ground Soccer Cleats,https://www.adidas.com/us/copa-icon-firm-ground-soccer-cleats/GZ2528.html,2,108,180,WOMEN Soccer,Adidas,GZ2528
34,Stan Smith Shoes,https://www.adidas.com/us/stan-smith-shoes/IE4634.html,2,88,110,Women's Originals,Adidas,IE4634
35,TERREX Swift R3 Mid GORE-TEX Hiking Shoes,https://www.adidas.com/us/terrex-swift-r3-mid-gore-tex-hiking-shoes/IF2401.html,,72,180,Women's TERREX,Adidas,IF2401
36,NMD_V3 Shoes,https://www.adidas.com/us/nmd_v3-shoes/HQ9115.html,11,85,170,Women's Originals,Adidas,HQ9115
37,Superstar XLG Shoes,https://www.adidas.com/us/superstar-xlg-shoes/IG2971.html,3,77,110,Women's Originals,Adidas,IG2971
38,RunFalcon Wide 3 Running Shoes,https://www.adidas.com/us/runfalcon-wide-3-running-shoes/HP6651.html,2,43,65,Women's Running,Adidas,HP6651
39,Ultraboost 1.0 Shoes,https://www.adidas.com/us/ultraboost-1.0-shoes/ID9676.html,2,67,190,Women's Sportswear,Adidas,ID9676
40,Predator Accuracy.1 Firm Ground Soccer Cleats,https://www.adidas.com/us/predator-accuracy.1-firm-ground-soccer-cleats/GW4569.html,6,125,250,WOMEN Soccer,Adidas,GW4569
41,TERREX SOULSTRIDE FLOW GTX W,https://www.adidas.com/us/terrex-soulstride-flow-gtx-w/ID6715.html,2,72,160,Women's TERREX,Adidas,ID6715
42,NMD_V3 Shoes,https://www.adidas.com/us/nmd_v3-shoes/GZ2133.html,11,60,170,Women's Originals,Adidas,GZ2133
43,Adicane Clogs,https://www.adidas.com/us/adicane-clogs/HQ9918.html,3,38,50,WOMEN Sportswear,Adidas,HQ9918
44,TERREX Free Hiker 2.0 Hiking Shoes,https://www.adidas.com/us/terrex-free-hiker-2-hiking-shoe/GV8920.html,9,100,200,Women's TERREX,Adidas,GV8920
45,Texas A&M Ultraboost 1.0 Shoes,https://www.adidas.com/us/texas-a-m-ultraboost-1.0-shoes/IG5876.html,17,70,200,WOMEN Sportswear,Adidas,IG5876
46,Adizero Boston 12 Running Shoes,https://www.adidas.com/us/adizero-boston-12-running-shoes/IF8170.html,5,64,160,Women's Running,Adidas,IF8170
47,Adilette Comfort Slides,https://www.adidas.com/us/adilette-comfort-slides/GX9835.html,17,20,40,WOMEN Sportswear,Adidas,GX9835
48,Duramo SL Wide Running Shoes,https://www.adidas.com/us/duramo-sl-wide-running-shoes/IG0310.html,2,,,Women's Running,Adidas,IG0310
49,adizero Ubersonic 4 Tennis Shoes,https://www.adidas.com/us/adizero-ubersonic-4-tennis-shoes/HQ8392.html,3,,,Women's Tennis,Adidas,HQ8392
50,TERREX Free Hiker 2.0 Hiking Shoes,https://www.adidas.com/us/terrex-free-hiker-2.0-hiking-shoes/HP7496.html,9,80,200,Women's TERREX,Adidas,HP7496
51,NMD_V3 Shoes,https://www.adidas.com/us/nmd_v3-shoes/GY4189.html,11,112,160,Women's Originals,Adidas,GY4189
52,TERREX AX4 Mid GORE-TEX Hiking Shoes,https://www.adidas.com/us/terrex-ax4-mid-gore-tex-hiking-shoes/HQ1049.html,2,,,Women's TERREX,Adidas,HQ1049
53,Kaptir Flow Shoes,https://www.adidas.com/us/kaptir-flow-shoes/IF6603.html,6,,,Women's Sportswear,Adidas,IF6603
54,Adizero SL Running Shoes,https://www.adidas.com/us/adizero-sl-running-shoes/ID6946.html,,,,Women's Running,Adidas,ID6946
55,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/GZ9257.html,2,,,WOMEN Originals,Adidas,GZ9257
56,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/GZ9260.html,2,120,150,WOMEN Originals,Adidas,GZ9260
57,Terrex Free Hiker 2.0 Low GORE-TEX Hiking Shoes,https://www.adidas.com/us/terrex-free-hiker-2.0-low-gore-tex-hiking-shoes/IE7657.html,3,81,180,Women's TERREX,Adidas,IE7657
58,Ultraboost Light Shoes,https://www.adidas.com/us/ultraboost-light-shoes/HQ8600.html,5,67,190,Women's Running,Adidas,HQ8600
59,Predator Accuracy Injection+ Firm Ground Soccer Cleats,https://www.adidas.com/us/predator-accuracy-injection-plus-firm-ground-soccer-cleats/IG0769.html,,225,300,WOMEN Soccer,Adidas,IG0769
60,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/GW5699.html,50,45,150,Women's Originals,Adidas,GW5699
61,Adilette Shower Slides,https://www.adidas.com/us/adilette-shower-slides/GZ3779.html,9,24,30,WOMEN Yoga,Adidas,GZ3779
62,Copa Icon Firm Ground Soccer Cleats,https://www.adidas.com/us/copa-icon-firm-ground-soccer-cleats/GZ2528.html,2,108,180,WOMEN Soccer,Adidas,GZ2528
63,AdiFOM SST Boot Shoes,https://www.adidas.com/us/adifom-sst-boot-shoes/ID4280.html,7,44,110,Women's Originals,Adidas,ID4280
64,Miami Ultraboost 1.0 Shoes,https://www.adidas.com/us/miami-ultraboost-1.0-shoes/IG5877.html,3,70,200,WOMEN Sportswear,Adidas,IG5877
65,Barricade Tennis Shoes,https://www.adidas.com/us/barricade-tennis-shoes/ID1555.html,4,112,160,Women's Tennis,Adidas,ID1555
66,Ultra 4D Running Shoes,https://www.adidas.com/us/ultra-4d-running-shoes/IG2260.html,7,154,220,WOMEN Running,Adidas,IG2260
67,Nizza Platform Mid Shoes,https://www.adidas.com/us/nizza-platform-mid-shoes/FY2782.html,7,60,85,Women's Originals,Adidas,FY2782
68,Supernova 2.0 Running Shoes,https://www.adidas.com/us/supernova-2.0-running-shoes/GY3528.html,7,60,100,Women's Running,Adidas,GY3528
69,Predator Accuracy.1 Indoor Soccer Shoes,https://www.adidas.com/us/predator-accuracy.1-indoor-soccer-shoes/GZ0039.html,,105,140,WOMEN Soccer,Adidas,GZ0039
70,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/IE1775.html,5,67,190,Women's Running,Adidas,IE1775
71,TERREX Swift R3 Hiking Shoes,https://www.adidas.com/us/terrex-swift-r3-hiking-shoes/HQ1059.html,,60,150,Women's TERREX,Adidas,HQ1059
72,Five Ten Trailcross GORE-TEX Mountain Bike Shoes,https://www.adidas.com/us/five-ten-trailcross-gore-tex-mountain-bike-shoes/IF4941.html,3,176,220,WOMEN Five Ten,Adidas,IF4941
73,OZELIA Shoes,https://www.adidas.com/us/ozelia-shoes/IE9535.html,8,44,110,Women's Originals,Adidas,IE9535
74,Adizero Boston 12 Running Shoes,https://www.adidas.com/us/adizero-boston-12-running-shoes/HQ2170.html,2,128,160,Women's Running,Adidas,HQ2170
75,Adicane Clogs,https://www.adidas.com/us/adicane-clogs/HQ9916.html,3,38,50,WOMEN Sportswear,Adidas,HQ9916
76,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/HQ6347.html,5,67,190,Women's Running,Adidas,HQ6347
77,Predator Accuracy.1 Turf Soccer Shoes,https://www.adidas.com/us/predator-accuracy.1-turf-soccer-shoes/GZ0009.html,2,112,140,WOMEN Soccer,Adidas,GZ0009
78,Five Ten Trailcross LT Mountain Bike Shoes,https://www.adidas.com/us/five-ten-trailcross-lt-mountain-bike-shoes/FV4720.html,2,56,140,Women's Five Ten,Adidas,FV4720
79,Adicane Clogs,https://www.adidas.com/us/adicane-clogs/HQ9917.html,3,40,50,WOMEN Sportswear,Adidas,HQ9917
80,Rutgers Ultraboost 1.0 Shoes,https://www.adidas.com/us/rutgers-ultraboost-1.0-shoes/IG5893.html,3,70,200,WOMEN Sportswear,Adidas,IG5893
81,Shmoofoil Shoes,https://www.adidas.com/us/shmoofoil-shoes/IG5268.html,3,53,75,WOMEN Originals,Adidas,IG5268
82,OZMILLEN Shoes,https://www.adidas.com/us/ozmillen-shoes/IF6582.html,2,99,110,Women's Originals,Adidas,IF6582
83,Five Ten Trailcross LT Mountain Bike Shoes,https://www.adidas.com/us/five-ten-trailcross-lt-mountain-bike-shoes/IF4942.html,2,56,140,Women's Five Ten,Adidas,IF4942
84,ZG23 Golf Shoes,https://www.adidas.com/us/zg23-golf-shoes/GZ2174.html,3,90,200,Women's Golf,Adidas,GZ2174
85,Stan Smith Lux Shoes,https://www.adidas.com/us/stan-smith-lux-shoes/HP2201.html,8,95,145,WOMEN Originals,Adidas,HP2201
86,adidas Five Ten Trailcross Pro Clip-in Mountain Bike Shoes,https://www.adidas.com/us/adidas-five-ten-trailcross-pro-clip-in-mountain-bike-shoes/HP9929.html,,160,200,Women's Five Ten,Adidas,HP9929
87,The Velosamba Made with Nature Cycling Shoes,https://www.adidas.com/us/the-velosamba-made-with-nature-cycling-shoes/HQ9036.html,5,135,150,WOMEN Cycling,Adidas,HQ9036
88,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/GZ9259.html,2,120,150,WOMEN Originals,Adidas,GZ9259
89,Adizero Ubersonic 4.1 Tennis Shoes,https://www.adidas.com/us/adizero-ubersonic-4.1-tennis-shoes/IG5467.html,4,98,140,Women's Tennis,Adidas,IG5467
90,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/HP9477.html,5,67,190,Women's Running,Adidas,HP9477
91,ZG23 BOA Golf Shoes,https://www.adidas.com/us/zg23-boa-golf-shoes/GZ2171.html,,110,220,Women's Golf,Adidas,GZ2171
92,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/HQ6345.html,5,67,190,Women's Running,Adidas,HQ6345
93,Brevard Shoes,https://www.adidas.com/us/brevard-shoes/HR0277.html,2,40,100,Women's Sportswear,Adidas,HR0277
94,Y-3 Superstar,https://www.adidas.com/us/y-3-superstar/IG3043.html,4,264,330,WOMEN Y-3,Adidas,IG3043
95,TERREX Free Hiker GORE-TEX 2.0 Hiking Shoes,https://www.adidas.com/us/terrex-free-hiker-gore-tex-2.0-hiking-shoes/HP7494.html,8,138,230,Women's TERREX,Adidas,HP7494
96,Ultraboost 1.0 ATR Shoes,https://www.adidas.com/us/ultraboost-1.0-atr-shoes/ID1747.html,4,140,200,WOMEN Sportswear,Adidas,ID1747
97,Duramo Speed Running Shoes,https://www.adidas.com/us/duramo-speed-running-shoes/ID9854.html,11,63,90,Women's Running,Adidas,ID9854
98,Terrex Free Hiker 2.0 Low GORE-TEX Hiking Shoes,https://www.adidas.com/us/terrex-free-hiker-2.0-low-gore-tex-hiking-shoes/IG3204.html,2,108,180,Women's TERREX,Adidas,IG3204
99,Forum Bonega X Shoes,https://www.adidas.com/us/forum-bonega-x-shoes/GY1549.html,,72,120,Women's Originals,Adidas,GY1549
100,Shmoofoil Shoes,https://www.adidas.com/us/shmoofoil-shoes/IG5266.html,2,53,75,WOMEN Originals,Adidas,IG5266
101,Superstar Shoes,https://www.adidas.com/us/superstar-shoes/IF7610.html,23,88,110,Women's Originals,Adidas,IF7610
102,TERREX AX4 GORE-TEX Hiking Shoes,https://www.adidas.com/us/terrex-ax4-gore-tex-hiking-shoes/IF4863.html,2,66,120,Women's TERREX,Adidas,IF4863
103,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/IG8337.html,50,48,160,Women's Originals,Adidas,IG8337
104,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/IE1776.html,11,67,190,Women's Running,Adidas,IE1776
105,TERREX Free Hiker 2.0 Hiking Shoes,https://www.adidas.com/us/terrex-free-hiker-2.0-hiking-shoes/HP7498.html,9,100,200,Women's TERREX,Adidas,HP7498
106,TERREX Skychaser 2.0 GORE-TEX Hiking Shoes,https://www.adidas.com/us/terrex-skychaser-2.0-gore-tex-hiking-shoes/HP8706.html,,77,170,Women's TERREX,Adidas,HP8706
107,Crazy 8 Shoes,https://www.adidas.com/us/crazy-8-shoes/IF2448.html,4,98,140,WOMEN Originals,Adidas,IF2448
108,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/HQ8599.html,11,95,190,Women's Running,Adidas,HQ8599
109,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/IG7964.html,11,76,190,Women's Running,Adidas,IG7964
110,Retrocross Spikeless Golf Shoes,https://www.adidas.com/us/retrocross-spikeless-golf-shoes/GV6916.html,2,77,110,Women's Golf,Adidas,GV6916
111,X Crazyfast.1 USA Firm Ground Soccer Cleats,https://www.adidas.com/us/x-crazyfast.1-usa-firm-ground-soccer-cleats/IG0664.html,,104,260,WOMEN Soccer,Adidas,IG0664
112,Hyperturf Adventure Shoes,https://www.adidas.com/us/hyperturf-adventure-shoes/HQ4312.html,13,56,140,WOMEN Originals,Adidas,HQ4312
113,Superstar Millencon Boot Shoes,https://www.adidas.com/us/superstar-millencon-boot-shoes/ID4263.html,2,49,140,Women's Originals,Adidas,ID4263
114,Ultraboost 1.0 Nebraska,https://www.adidas.com/us/ultraboost-1.0-nebraska/HQ5873.html,39,120,200,WOMEN Sportswear,Adidas,HQ5873
115,Top Ten RB Shoes,https://www.adidas.com/us/top-ten-rb-shoes/HP9549.html,2,70,100,Women's Originals,Adidas,HP9549
116,Adilette Platform Slides,https://www.adidas.com/us/adilette-platform-slides/HQ6179.html,2,35,50,WOMEN Sportswear,Adidas,HQ6179
117,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/IE1757.html,11,76,190,Women's Running,Adidas,IE1757
118,Stan Smith Lux Shoes,https://www.adidas.com/us/stan-smith-lux-shoes/HQ6785.html,2,116,145,WOMEN Originals,Adidas,HQ6785
119,Adizero Boston 12 Running Shoes,https://www.adidas.com/us/adizero-boston-12-running-shoes/ID6898.html,5,64,160,Women's Running,Adidas,ID6898
120,Switch FWD Running Shoes,https://www.adidas.com/us/switch-fwd-running-shoes/ID1790.html,6,98,140,Women's Running,Adidas,ID1790
121,The Velosamba Made with Nature Cycling Shoes,https://www.adidas.com/us/the-velosamba-made-with-nature-cycling-shoes/IE7022.html,5,135,150,WOMEN Cycling,Adidas,IE7022
122,Adizero SL Running Shoes,https://www.adidas.com/us/adizero-sl-running-shoes/HQ7232.html,7,48,120,Women's Running,Adidas,HQ7232
123,S2G Spikeless Golf Shoes,https://www.adidas.com/us/s2g-spikeless-golf-shoes/GV9427.html,2,70,100,Women's Golf,Adidas,GV9427
124,ULTRABOOST LIGHT,https://www.adidas.com/us/ultraboost-light/IE8155.html,22,76,190,WOMEN Running,Adidas,IE8155
125,4DFWD 2 Running Shoes,https://www.adidas.com/us/4dfwd-2-running-shoes/GX9271.html,8,90,200,Women's Running,Adidas,GX9271
126,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/IG0747.html,11,86,190,Women's Running,Adidas,IG0747
127,Superstar PRIDE RM Shoes,https://www.adidas.com/us/superstar-pride-rm-shoes/ID7493.html,,33,110,WOMEN Originals,Adidas,ID7493
128,Stan Smith Shoes,https://www.adidas.com/us/stan-smith-shoes/HQ4404.html,2,66,110,Women's Originals,Adidas,HQ4404
129,Astir SN Shoes,https://www.adidas.com/us/astir-sn-shoes/HP2815.html,,66,110,Women's Originals,Adidas,HP2815
130,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/IE1692.html,11,76,190,Women's Running,Adidas,IE1692
131,Box Hog 4 Shoes,https://www.adidas.com/us/box-hog-4-shoes/HP6880.html,6,117,130,WOMEN Boxing,Adidas,HP6880
132,Duramo SL Wide Running Shoes,https://www.adidas.com/us/duramo-sl-wide-running-shoes/IF9905.html,2,49,70,Women's Running,Adidas,IF9905
133,Adizero Select Basketball Shoes,https://www.adidas.com/us/adizero-select-basketball-shoes/IG5336.html,3,60,120,WOMEN Basketball,Adidas,IG5336
134,The Road BOA Cycling Shoes,https://www.adidas.com/us/the-road-boa-cycling-shoes/HQ6713.html,2,200,250,WOMEN Cycling,Adidas,HQ6713
135,4DFWD 2 Running Shoes,https://www.adidas.com/us/4dfwd-2-running-shoes/HP7648.html,8,140,200,Women's Running,Adidas,HP7648
136,ULTRABOOST 22  Running Shoes,https://www.adidas.com/us/ultraboost-22--running-shoes/GX6670.html,10,95,190,Women's Running,Adidas,GX6670
137,Exhibit Select Basketball Shoes,https://www.adidas.com/us/exhibit-select-basketball-shoes/IE9325.html,2,84,120,Women's Basketball,Adidas,IE9325
138,Ultraboost 1.0 Shoes,https://www.adidas.com/us/ultraboost-1.0-shoes/GY9904.html,3,147,210,Women's Sportswear,Adidas,GY9904
139,Hyperturf Adventure Shoes,https://www.adidas.com/us/hyperturf-adventure-shoes/HQ9119.html,13,84,140,WOMEN Originals,Adidas,HQ9119
140,Avryn Shoes,https://www.adidas.com/us/avryn-shoes/IG2374.html,18,63,140,WOMEN Sportswear,Adidas,IG2374
141,Ultraboost 1.0 Shoes,https://www.adidas.com/us/ultraboost-1.0-shoes/ID9675.html,3,133,190,Women's Sportswear,Adidas,ID9675
142,NMD_R1 Strap Shoes,https://www.adidas.com/us/nmd_r1-strap-shoes/HQ4245.html,2,48,160,Women's Originals,Adidas,HQ4245
143,Y-3 Superstar,https://www.adidas.com/us/y-3-superstar/ID4122.html,4,198,330,WOMEN Y-3,Adidas,ID4122
144,Y-3 Superstar,https://www.adidas.com/us/y-3-superstar/ID4122.html,4,198,330,WOMEN Y-3,Adidas,ID4122
145,adidas TERREX + and wander Free Hiker 2.0 Hiking Shoes,https://www.adidas.com/us/adidas-terrex--plus-and-wander-free-hiker-2.0-hiking-shoes/HQ1443.html,,88,250,Women's TERREX,Adidas,HQ1443
146,X Crazyfast.1 Artificial Grass Soccer Cleats,https://www.adidas.com/us/x-crazyfast.1-artificial-grass-soccer-cleats/IE6631.html,2,195,260,WOMEN Soccer,Adidas,IE6631
147,Adicross Hi BOOST Golf Shoes,https://www.adidas.com/us/adicross-hi-boost-golf-shoes/H03662.html,2,126,180,WOMEN Golf,Adidas,H03662
148,Adizero SL Running Shoes,https://www.adidas.com/us/adizero-sl-running-shoes/ID6928.html,2,48,120,Women's Running,Adidas,ID6928
149,Crazy IIInfinity Shoes,https://www.adidas.com/us/crazy-iiinfinity-shoes/IE7689.html,3,112,160,WOMEN Originals,Adidas,IE7689
150,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/HP3012.html,50,90,150,Women's Originals,Adidas,HP3012
151,CODECHAOS 22 Spikeless Golf Shoes,https://www.adidas.com/us/codechaos-22-spikeless-golf-shoes/GX2613.html,4,98,140,Women's Golf,Adidas,GX2613
152,Dropset 2 Training Shoes,https://www.adidas.com/us/dropset-2-training-shoes/IF3197.html,4,59,130,Women's Training,Adidas,IF3197
153,Avryn Shoes,https://www.adidas.com/us/avryn-shoes/HP5972.html,18,56,140,WOMEN Sportswear,Adidas,HP5972
154,Avryn Shoes,https://www.adidas.com/us/avryn-shoes/HP5970.html,18,56,140,WOMEN Sportswear,Adidas,HP5970
155,Stan Smith Millencon Shoes,https://www.adidas.com/us/stan-smith-millencon-shoes/HQ6041.html,2,63,125,Women's Originals,Adidas,HQ6041
156,Louisville Ultraboost 1.0 Shoes,https://www.adidas.com/us/louisville-ultraboost-1.0-shoes/IG5892.html,17,140,200,WOMEN Sportswear,Adidas,IG5892
157,4DFWD 2 Running Shoes,https://www.adidas.com/us/4dfwd-2-running-shoes/GX9265.html,8,80,200,Women's Running,Adidas,GX9265
158,Nizza Platform Shoes,https://www.adidas.com/us/nizza-platform-shoes/IG5058.html,10,56,80,Women's Originals,Adidas,IG5058
159,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/GW9473.html,50,83,150,Women's Originals,Adidas,GW9473
160,Stan Smith PRIDE RM Shoes,https://www.adidas.com/us/stan-smith-pride-rm-shoes/ID7494.html,,39,110,WOMEN Originals,Adidas,ID7494
161,Five Ten Trailcross Clip-In Mountain Bike Shoes,https://www.adidas.com/us/five-ten-trailcross-clip-in-mountain-bike-shoes/GZ9840.html,4,132,165,Women's Five Ten,Adidas,GZ9840
162,Five Ten Freerider Canvas Mountain Bike Shoes,https://www.adidas.com/us/five-ten-freerider-canvas-mountain-bike-shoes/GZ4655.html,4,55,110,Women's Five Ten,Adidas,GZ4655
163,Dropset 2 Training Shoes,https://www.adidas.com/us/dropset-2-training-shoes/HQ8775.html,5,104,130,WOMEN Training,Adidas,HQ8775
164,Hyperturf Shoes,https://www.adidas.com/us/hyperturf-shoes/GX2022.html,13,56,140,WOMEN Originals,Adidas,GX2022
165,Web BOOST Shoes,https://www.adidas.com/us/web-boost-shoes/IF5282.html,4,56,160,WOMEN Sportswear,Adidas,IF5282
166,NC State Ultraboost 1.0 Shoes,https://www.adidas.com/us/nc-state-ultraboost-1.0-shoes/IG5878.html,17,140,200,WOMEN Sportswear,Adidas,IG5878
167,KU Ultraboost 1.0 Shoes,https://www.adidas.com/us/ku-ultraboost-1.0-shoes/IG5890.html,17,140,200,WOMEN Sportswear,Adidas,IG5890
168,Ultraboost 1.0 Shoes,https://www.adidas.com/us/ultraboost-1.0-shoes/IF5274.html,4,105,190,Women's Sportswear,Adidas,IF5274
169,Avryn Shoes,https://www.adidas.com/us/avryn-shoes/HP5974.html,18,56,140,WOMEN Sportswear,Adidas,HP5974
170,X_PLRBOOST Shoes,https://www.adidas.com/us/x_plrboost-shoes/ID9584.html,11,56,160,Women's Sportswear,Adidas,ID9584
171,Indiana Ultraboost 1.0 Shoes,https://www.adidas.com/us/indiana-ultraboost-1.0-shoes/IG5880.html,17,140,200,WOMEN Sportswear,Adidas,IG5880
172,Georgia Tech Ultraboost 1.0 Shoes,https://www.adidas.com/us/georgia-tech-ultraboost-1.0-shoes/IG5887.html,17,140,200,WOMEN Sportswear,Adidas,IG5887
173,PureHustle 2 Elite Cleats,https://www.adidas.com/us/purehustle-2-elite-cleats/FY4393.html,,44,110,Women's Softball,Adidas,FY4393
174,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/GZ9593.html,50,90,150,Women's Originals,Adidas,GZ9593
175,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/GW9477.html,50,90,150,Women's Originals,Adidas,GW9477
176,NMD_R1 V3 Shoes,https://www.adidas.com/us/nmd_r1-v3-shoes/HQ4277.html,11,60,170,Women's Originals,Adidas,HQ4277
177,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/HQ1399.html,,77,220,Women's Running,Adidas,HQ1399
178,Mississippi State Ultraboost 1.0 Shoes,https://www.adidas.com/us/mississippi-state-ultraboost-1.0-shoes/IG5888.html,17,120,200,WOMEN Sportswear,Adidas,IG5888
179,Five Ten Sleuth Mountain Bike Shoes,https://www.adidas.com/us/five-ten-sleuth-mountain-bike-shoes/IG0374.html,5,72,90,Women's Five Ten,Adidas,IG0374
180,Y-3 Gazelle,https://www.adidas.com/us/y-3-gazelle/IG0804.html,2,198,330,WOMEN Y-3,Adidas,IG0804
181,Adizero Adios Pro 3 Running Shoes,https://www.adidas.com/us/adizero-adios-pro-3-running-shoes/ID8473.html,3,175,250,Women's Running,Adidas,ID8473
